Sub_Before,Tense,Complement,Reading,left,buinn,right,source,year
No,,NULL,Fixed,sagði að þessa mundi hefnt verða. Brestir kveðst þess mundu,búinn,bíða og kvíða ekki hótum hans. Skildu nú við svo búið. 6. kafli Litlu eftir,(fsaga),
No,,NULL,svo búið,"anda í orðaþófi við konur, en þó erum vér eigi skilin að svo",búnu,"."" Og síðan lét hann þær fjórar mæðgur setja í myrkvastofu hjá húsum Paldaríu",(FSK),
No,,NULL,svo búið,ttu biður Ása að Þórður sendi eftir Víðkunni og lét eigi svo,búið,hlýða mundu. Koma Víðkunni orðin og brást hann við skjótt og kemur í loftin,(g_asa2),
No,,NULL,Fixed,"um kálfsþörmunum. Þá mælti Starkaðr til konungs: ""Nú er hér",búinn,"þér gálgi, konungr, ok mun sýnast eigi allmannhættligr. Nú gakktu hingat, o",(gautrek),
No,,NULL,vel búið,"a þér verðkaup, ok skaltu þá með mér fara."" Hús váru þar vel",búin,"ok menn vænir ok hæfiliga miklir. Þat fann konungr, at þeir óttuðust hann. B",(gautrek),
No,PST,NULL,,drengiligasti maðr. Hann sat þar um hríð. Öll höll jarls var,búin,"með skjöldum, svá at hverr tók annan, þar sem þeir váru upp festir. Jarl tók",(gautrek),
No,,NULL,vel búið,k fyrir Ellu konung ok kvaddi hann sæmiliga. Var Refr þá vel,búinn,"bæði at vápnum ok klæðum. Konungr spurði, hverr þessi maðr var. Hann svarað",(gautrek),
No,,NULL,svo búið,i er eða annar maður. Hann fer heim og segir Eyjólfi til svo,búins,. Hann kveðst víst vita að það muni Gísli verið hafa og bregður við skjótt o,(gisl),1240
No,PRS,NULL,,orgrím í skip. Nú verpa þeir hauginn eftir fornum sið. Og er,búið,"er að lykja hauginn þá gengur Gísli til óssins og tekur upp stein einn, svo",(gisl),1240
No,,NULL,Fixed,"  hirði eg um spár þínar,"" sagði Þorkell, og skildust við svo",búið,Fer Gísli inn til Hergilseyjar á Breiðafjörð. Þá tekur hann úr skipinu þilj,(gisl),1240
No,,NULL,vel búið,"launa."" Það var vandi Gísla að hann var í kápu blárri og vel",búinn,"; hann varpar þá af sér kápunni og mælti: ""Kápu þessa vil eg gefa þér, vinur",(gisl),1240
No,,NULL,Fixed,s inn og lýkur aftur hurðunni sem um aftaninn hafði verið um,búið,. Nú fer hann að öllu tómlega. Eftir það stendur hann og hlýðist um hvort nok,(gisl),1240
No,,NULL,Fixed,tt í sleðanum; hrósaði hann sér og heldur og þóttist veglega,búinn,. Nú sjá þeir Börkur för þeirra er þeir fara til skógarins og hleypa eftir h,(gisl),1240
No,,NULL,Fixed,i sér land að Hamri og bjó þar nokkra vetur. Víða hefur hann,búið,á Mýrum og eru menn komnir frá honum. Lúkum vér hér Gísla sögu Súrssonar. Ne,(gisl),1240
No,,NULL,Fixed,a og koma þar þá enn það fram að Gísli var betur að íþróttum,búinn,en flestir menn aðrir. Eftir það gengur hann á bátinn og rær út yfir nesið,(gisl),1240
No,,NULL,Prepared,r eigi annan veg eftir að leita um víg Þorgríms og munu rétt búin,búin,"málin honum á hendur."" Börkur verður við þetta ákaflega reiður og mælti: ""Nú",(gisl),1240
No,,NULL,Fixed,ð hann; en Gísli hafði bú eftir og saknar einskis í að nú sé,búið,verra en áður. Og líður nú svo sumarið og kemur að veturnóttum. Það var þá m,(gisl),1240
No,,NULL,Fixed,í húsið og þóttu honum þar verða hægindi í pöllum og vel um,búið,". Hún bað þau þar vera og una sér vel, ""og skaltu hingað fara og þá er þú and",(gisl),1240
No,,NULL,svo búið,en í annan stað að firra Eyjólf óhappi og verður hann nú svo,búið,að hafa og fer á brott við þetta. En áður en Hávarður gengi út mælti Auður:,(gisl),1240
No,,NULL,svo búið,honum þykir vænst og hefur í hendi öxi mikla. Gísli var svo,búinn,að hann hafði í hendi öxi og gyrður sverði og skjöld á hlið; hann var í kuf,(gisl),1240
No,,NULL,svo búið,í Geirþjófsfjörð og verður ekki var við Gísla og fer við svo,búið,aftur heim. Gísli var vitur maður og draumamaður mikill og berdreymur. Það k,(gisl),1240
No,,NULL,svo búið,sína ferð sem þó átti hann stundum vanda til og hefur þó svo,búið,mikla sneypu og svívirðing af þessu máli. Sveinarnir fara nú uns þeir koma í,(gisl),1240
No,,NULL,vel búið,var í víkingu. Tryggvi hafði nú fengit tólf skip ok öll vel,búin,at mönnum ok vápnum. Hann helt þessum her til Danmerkr ok vildi hefna föður,(gonguhr),
No,,NULL,svo búið,"arn skilmála. Máttu nú vel láta líka þér, at vit skiljum svá",búnir,". Virði ek meir til þess drengskap minn en þína tilgerð."" Gekk Hrólfr síðan",(gonguhr),
No,PST,NULL,,t rjóðr ok sá þar ellefu menn alvápnaða. Einn þeira var best,búinn,", ok sá þótti honum sem vera mundi formaðr þeira. En er þeir sjá Hrólf, þá m",(gonguhr),
No,,NULL,Fixed,ndan. Beit sverðit sem í vatn brygði. Umgerðin var öll gulli,búin,", þar er bæta þótti, ok í aftra hjalti sverðsins váru leystir lífsteinar þeir",(gonguhr),
No,,NULL,Fixed,"Hrólfr gerðist drukkinn, vildi hann fara at sofa. Var honum",búin,sæng virðulig. Kastaði hann klæðum af sér ok lagðist í sængina ok sofnaði sk,(gonguhr),
No,NF,NULL,,", svá at aðrir menn mætti því betr við una. Þeir létust þess",búnir,". Var nú svá gert, at Stefnir sýndi fyrst sínar féhirslur, ok fannst þar ekk",(gonguhr),
No,,NULL,vel búið,sigldu þeir af Jótlandi ok höfðu þrjá tigi skipa ok öll vel,búin,". Þeir léttu sinni ferð eigi fyrr en þeir kómu vestr til Englands við ey þá,",(gonguhr),
No,NF,NULL,,"i, í hendr, ok skal hún gera þeim bræðrum klæði ok láta vera",búin,"árla í morgin."" Stefnir gerði svá ok gekk til Þóru með klæðit ok sagði henni",(gonguhr),
No,,NULL,Fixed,r gengu inn í höllina. Þeir váru miklir ok þrekligir en lítt,búnir,at vápnum ok klæðum. Þeir gengu fyrir jarl ok kvöddu hann. Hann tók vel kve,(gonguhr),
No,,NULL,Fixed,"t, kom Hrólfr í kastalann ok hitti konungsdóttur ok bað hana",búna,með sér at fara. Hún segir sér þá ekki at vanbúnu. Hrólfr hafði með sér tvá,(gonguhr),
No,PST,NULL,,"lu og þar muntu andast."" Og þá hnígur Þorsteinn aftur og var",búið,um lík hans og fært til skips. Þorsteinn bóndi efndi vel við Guðríði allt þa,(graens),1200
Yes,PST,NULL,,ét. Nú bjuggu þeir skip sitt og sigldu í haf þá er þeir voru,búnir,og fundu þá það land fyrst er þeir Bjarni fundu síðast. Þar sigla þeir að l,(graens),1200
Yes,PST,NULL,,"ð í Grænlandshaf."" En þó halda þeir nú í haf þegar þeir voru",búnir,og sigldu þrjá daga þar til er landið var vatnað en þá tók af byrina og lag,(graens),1200
Yes,PRS,NULL,,ét Eiríkur eftir Leifi og ríður heiman þá er þeir eru að því,búnir,"og var þá skammt að fara til skipsins. Drepur hesturinn fæti, sá er Eiríkur",(graens),1200
No,,NULL,svo búið,ns höfðu eftir bagga þeirra og skinnavöru. Fóru þeir við svo,búið,í burt. Nú er frá því að segja að Karlsefni lætur gera skíðgarð rammlegan um,(graens),1200
No,,NULL,Fixed,"hér örin, en mun mig þetta til bana leiða. Nú ræð ég að þér",búið,ferð yðra sem fljótast aftur á leið en þér skuluð færa mig á höfða þann er m,(graens),1200
No,,NULL,svo búið,gðar og hitti þá Kolbein og Ketil Kálfsson og sagði þeim svo,búið,. Kolbeinn kvað ósæmd til tekna enda sagði hann úrræðið eigi gott. Ketill mæl,(graent),
No,,NULL,Fixed,nn eigi til fyrr kennimenn yfir að syngja en áður var um lík,búið,". Þá mælti Einar: ""Nú hefir orðið í stökki brang og ekki lítt af yðru tilstil",(graent),
No,PST,NULL,,"."" Össur kvaðst ekki fá það af sér svo illa sem við hann var",búið,. Og áttu þeir nú um þetta að tala. Þá gengu þeir biskup frá kirkju og heim t,(graent),
No,PST,NULL,,igi úr Vestribyggð til þings að þá var andviðri er þeir voru,búnir,með tveim skipum. En að miðju sumri skyldi sætt gera á Eiði. Þá komu þeir k,(graent),
No,,NULL,svo búið,þetta væri meir gert af kappi en eftir lögum en þó stóð svo,búið,. Varð nú tíðindalaust fram yfir miðsumar. 47. kafli Að áliðnu sumri kom Gret,(grettir),1315
No,,NULL,Fixed,an Hítará mun vera vígi gott og þó fylgsni ef klóklega er um,búið,. Er þar bora í gegnum fjallið og sér það neðan af veginum því að þjóðgatan l,(grettir),1315
No,,NULL,svo búið,"ða."" ""Hætt mun á það verða,"" sagði Grettir og skildu við svo",búið,. Fór Þorbjörn heim aftur. 74. kafli Svo er sagt að þá er Grettir hafði tvo v,(grettir),1315
No,,NULL,svo búið,t við reiður er honum voru engin orð ger og kvað þá eigi svo,búið,skilja skyldu. Hafði hann þá spurn af nær þeirra væri sunnan von og reið han,(grettir),1315
No,,NULL,svo búið,"í fylgsni ""ef hann væri hér. Munuð þér nú vel við una að svo",búið,standi. Var ekki ofhefnt fyrir víg Atla þó að þetta kæmi fyrir. Spurðuð þér,(grettir),1315
No,,NULL,svo búið,"að verja ""en illa er það er þér mislíkar."" Björn kvað nú svo",búið,vera verða. Litlu síðar komu þeir menn til Bjarnar sem misst höfðu frændur s,(grettir),1315
No,PST,NULL,,. Fékk Grettir þá stór högg af þeim svo að við meiðingum var,búið,. Húskarlar fóru þá heim og sögðu mikið af framgöngu sinni. Húsfreyja bað þá,(grettir),1315
No,PST,NULL,,s kostur mundi verða hafði hann sig af þinginu því að þá var,búið,að frændur Grettis mundu að honum ganga. Fékk hann og ekki af því fé er til,(grettir),1315
No,PST,NULL,,ð heim eftir það. Ásdís húsfreyja sendir eftir mönnum og var,búið,um lík Atla og var hann jarðaður hjá föður sínum. Hann var mjög harmdauður þ,(grettir),1315
No,PST,NULL,,ð. 8. kafli Þeir Önundur og Ásmundur létu í haf er þeir voru,búnir,og höfðu samflota. Þá kvað Önundur þetta: Þótti eg hæfr að Hrotta hreggvind,(grettir),1315
Yes,PST,NULL,,"ráða mágur,"" segir Þorkell. Reið hann nú heim þá er hann var",búinn,og leysti Ásmundur hann burt með góðum gjöfum. Nokkru síðar bjóst Þorkell h,(grettir),1315
Yes,PST,NULL,,enni var mest um hann hugað. Létu þeir í haf þegar þeir voru,búnir,og byr gaf. Og er þeir komu út yfir grunn öll undu þeir segl. Grettir gerði,(grettir),1315
No,,NULL,Live,ú í eyjunni. Hann var son Kárs hins gamla er þar hafði lengi,búið,. Þorfinnur var höfðingi mikill. Og er alljóst var orðið sáu menn til úr eyju,(grettir),1315
No,,NULL,Fixed,num en nú var þar fyrir bundinn hurðarflaki og óvendilega um,búið,". Þverþilið var allt brotið frá skálanum, þar fyrir framan hafði verið, bæði",(grettir),1315
No,,NULL,svo búið,a Auður var. Var þessu keypt. Riðu þeir Önundur heim við svo,búið,. Auður þakkaði Önundi liðveislu við Ólaf. Þetta haust fékk Ólafur feilan Álf,(grettir),1315
No,,NULL,Live,egi sem eru Þórir þömb og Ögmundur illi. Munu þeir hafa ekki,búið,"heppilega fyrir oss en eg treysti ekki vel Íslendingi."" Talaði hann hér til",(grettir),1315
No,,NULL,Fixed,kom heim til húsfreyju: Tólf höfum gröf hjá gjálfri gunnelds,búið,runnum. Einn nam eg öllum vinna ótrauðr beran dauða. Hver munu gild um gjörv,(grettir),1315
No,,NULL,svo búið,dið var og eigi var forbrekkis að fara. Gengu nú frá við svo,búið,. Hinn þriðja dag fór prestur með þeim og leituðu allan daginn og Glámur fann,(grettir),1315
No,,NULL,Fixed,"unir þeirra við þurfa."" Hún tók þá undan skikkju sinni sverð",búið,". Það var allgóður gripur. Hún mælti þá: ""Sverð þetta átti Jökull föðurfaðir",(grettir),1315
No,,NULL,svo búið,miðsumar að Þorbjörn öxnamegin reið til Bjargs. Hann var svo,búinn,að hann hafði hjálm á höfði og gyrður við sverð og spjót í hendi. Það var f,(grettir),1315
No,PST,NULL,,"ðir."" Jarl kvað öngan þeirra spara skyldu. Var þá við sjálfu",búið,að þeir mundu berjast. Þá gengu að jarli margir góðgjarnir menn og báðu að h,(grettir),1315
No,,NULL,Fixed,"sem þessi hinn mikli stafkarl sá húsfrúna, að hún var betur",búin,"en aðrar konur, mælti hann svo til hennar: ""Góða húsfreyja,"" sagði hann, ""ha",(grettir),1315
No,,NULL,svo búið,undir að þetta væri þarfleysuglens og Grettir mundi eigi svo,búið,hafa vilja ef hann frétti þessi orð. Ekki bar þar til tíðinda fleira að boði,(grettir),1315
Yes,PST,NULL,,"hvalur í hverri vík. Hlóð hann nú ferju sína, og er hann var",búinn,", hélt hann frá landi, og voru þau tvö á skipi, Grímur og Lofthæna. Tók hann",(grim),
No,Samsett,NULL,,sögunni eftir AM 945 4to. Þar er komið að óvinir Þóris hafa,búið,honum fyrirsát en Önundur nokkur fer til að ginna hann í gildru.) Þeir komu,(gull),1325
No,,NULL,Live,fyrir vestan fjörð næturgestur. Hann setti annan mann fyrir,búið,í Bæ að annast þar um. Þórir sat nú um kyrrt og var honum allmikill hugur á,(gull),1325
No,,NULL,Fixed,honum mikill í rauðum kyrtli og hafði hjálm á höfði og sverð,búið,í hendi. Hann hafði um sig digurt belti og þar á góðan hníf og glófa á höndu,(gull),1325
No,,NULL,Fixed,Múla. En því var þessa við getið að þessi maður var öðruvís,búinn,en þeir menn er þar riðu hversdaglega. Hann hafði hjálm á höfði en skjöld á,(gull),1325
No,,NULL,Live,i en stundum var hann með Þóri. En er Þórir hafði einn vetur,búið,fór hann til Kleifa og með honum Gilli og Vaði skáld og fóstbræður hans. Þór,(gull),1325
Yes,PST,NULL,,naði öllu því fé er þar var og fóru af skóginum er þeir voru,búnir,", fyrst til Svíþjóðar en þaðan til Gautlands og fundu þar Hlöðvi jarl son Æs",(gull),1325
No,,NULL,Fixed,g komu síð að landi. Úlfur gekk í móti þeim og er þeir höfðu,búið,um skip sitt sá Þórir hvar eldur var nær sem lýsti af tungli og brá yfir blá,(gull),1325
No,,NULL,svo búið,nari á leið og sagði hvar hann skyldi fara og skildu við svo,búið,. Gunnar fór til þess er hann kom í Mjóvanes. Þar bjó Helgi þá. Gunnar drap á,(gun_tidr),
No,,NULL,svo búið,þá burt hafa rekið. Þeir Þorkell fóru í burt og heim við svo,búið,. Líður nú á veturinn og hafði Þorkell Geitisson mikinn grun á að þeir Gunnar,(gun_tidr),
No,,NULL,svo búið,kváðu hann sýna góðvilja enn í þessu. Skilja þeir nú við svo,búið,. Litlu síðar fóru þeir bræður Þorkell og Eyjólfur Ketilssynir til stakkgarðs,(gun_tidr),
No,,NULL,svo búið,iðrandi kvaðst þess vilja fýsa er honum gegndi best. Við svo,búið,ríða þeir í burt en Þiðrandi fór þá norður í Krossavík og var um sumarið á m,(gun_tidr),
No,,NULL,svo búið,"skuldina."" Hann kvað enn lítt reynt um bú sitt og bað að svo",búið,skyldi vera og svo varð. Hann keypti það margt er honum þótti girnilegt. Og,(gun_tidr),
No,,NULL,svo búið,ssu verki og kváðu þetta hið mesta óhapp. Gunnar kvað nú svo,búið,vera mundu. Þau kváðust ætla að hér mundi mikið eftirmæli verða og mikil ræk,(gun_tidr),
No,,NULL,svo búið,Þorkell skilur að þetta mun satt vera og skilja þeir við svo,búið,. 7. kafli Nú er að segja frá Þorkeli Eyjólfssyni að hann ríður til brullaups,(gun_tidr),
No,,NULL,svo búið,"rændkona en þér er í skapi."" Fer Bjarni í burt þaðan við svo",búið,. Þórdís gengur nú til útibúrs þess er Gunnar var í og lýkur upp og spurði hv,(gun_tidr),
No,,NULL,Fixed,"var óskuldvar. Þá mælti Björn til hans: ""Það grunaði mig að",búið,mundi þér eigi hent og vil eg að þú farir aftur til vor og vinnir af þér sku,(gun_tidr),
No,,NULL,Fixed,"aka á þig náðir."" Hún leiddi hann þá í afhelli. Þar var borð",búið,". Gunnar settist undir borðið, át og drakk sem hann lysti. Síðan fór hann að",(gunnars),1410
No,,NULL,svo búið,t upp fyrir þeirra fótagangi. Sá Gunnar þá að eigi mundi svo,búið,"hlýða. Hann mælti þá fyrir munni sér: ""Hvað mun mér í annað sinn meiri þörf",(gunnars),1410
No,PRS,NULL,,"færir til leiks með mér í dag."" Gunnar svaraði: ""Ertu nú þá",búinn,"?"" ""Það er satt,"" segir Helgi. Gunnar stóð þá upp og var eigi sinnilegur. He",(gunnars),1410
No,,NULL,Fixed,hefðu menn verið. Líkaði Jökli mjög illa við Kol og var því,búið,"að hann mundi standa á honum, snúa við það aftur til hesta sinna og riðu hei",(gunnars),1410
No,PST,NULL,,"éðust til ferðar með honum, Helgi og Gunnar. En er þeir voru",búnir,beiðist Gunnar að ganga á land. Stýrimaður bað hann ráða og koma þó skjótt,(gunnars),1410
Yes,PST,NULL,,þegar er voraði bjuggu þeir skip sitt. En þegar er þeir voru,búnir,héldu þeir þegar burt. Gaf þeim vel byri til þess er þeir komu skipi sínu v,(gunnars),1410
No,,NULL,Fixed,r byrðar sínar. Þar sá hann allt tjaldað sem við veislu væri,búið,". Hún mælti þá til Gunnars: ""Mál er þér að hvílast og taka á þig náðir."" Hún",(gunnars),1410
No,,NULL,svo búið,ja. Bar Þorgrímur mikinn harm eftir sonu sína og varð þó svo,búið,að hafa. Í þenna punkt létu þeir út og gaf þeim vel byri til þess er þeir ko,(gunnars),1410
No,,NULL,Fixed,""" Gunnar þakkaði honum þetta framlag. Voru þessi skip skjótt",búin,bæði að mönnum og vopnum. Bárður fylgdi þeim til skips og bað þá bræður þang,(gunnars),1410
No,,NULL,Fixed,"um við að fornu þekkjast."" Þá segir Jökull að þeir skuli við",búnir,bardaganum. Gunnar og Helgi sögðu að eigi skyldi langt að bíða áður þeir sk,(gunnars),1410
No,,NULL,svo búið,ann fékk þá mörg sár og stór. Gunnar sá þá að eigi mundi svo,búið,duga. Hann kastaði þá öxinni og réð undir kerlingu. Þau glímdu þá lengi og g,(gunnars),1410
No,,NULL,Fixed,ur fyrir Örn. En sem hún vissi Örn dauðan var henni sprengur,búinn,en hún fékk sjálf að hugga sig fyrir Gunnari. Hafði hún dauðlegt hatur til,(gunnars),1410
No,,NULL,vel búið,"tar."" Leiddi hún hann í einn lítinn helli. Þar stóð borð vel",búið,með alls kyns matföngum. Þar voru hreinir diskar og kostuleg ker upp á sett,(gunnars),1410
No,PRS,NULL,,hvor greppa gagnsælli hlýtr fagna. Hér er bensigðum brugðið.,Búin,"er egg í leggi. Það mun ein og ekkja ung mær, þó að við særumst, þorna spöng",(gunnl),1212.5
No,PRS,NULL,Fixed,hólminn þá kvað hann vísu þessa: Nú em eg út á eyri alvangs,búinn,"ganga, happs unni guð greppi, gert, með tognum hjörvi. Hnakk skal Helgu lok",(gunnl),1212.5
No,,NULL,svo búið,t þeirra sem Gunnlaugur bauð og riðu þeir suður heim við svo,búið,. Og litlu síðar beiddi Gunnlaugur föður sinn fararefna í annað sinn. Illugi,(gunnl),1212.5
No,,NULL,svo búið,kildu þeir Gunnlaugur að sinni. Gunnlaugur segir konungi svo,búið,". Hann svarar: ""Nú er komið í allóvænt efni. Þessi maður deyfir hvert vopn. N",(gunnl),1212.5
No,,NULL,svo búið,"verða tekið þótt síðar sé,"" segir hann og skildu nú við svo",búið,. Litlu síðar gerðist Hrafn hirðmaður Ólafs konungs og bað hann orlofs til br,(gunnl),1212.5
No,,NULL,svo búið,ramur gengu tólf menn saman inn á Hlaðir. Gunnlaugur var svo,búinn,að hann var í grám kyrtli og í hvítum leistbrókum. Sull hafði hann á fæti n,(gunnl),1212.5
No,,NULL,svo búið,. Gunnlaugur laust smalamanninn í óvit. Bóndi vildi eigi svo,búið,hafa og beiddi bóta fyrir. Gunnlaugur bauð að gjalda bónda mörk. Bónda þótti,(gunnl),1212.5
No,PST,NULL,,ar og út á Borðeyri til skips kaupmannanna. Kaupmenn voru þá,búnir,mjög. Hrafn stýrimaður var á landi og mart manna hjá honum. Hermundur reið,(gunnl),1212.5
No,,NULL,vel búið,að eigi leyna augu ef ann kona manni. Gunnlaugur var þá vel,búinn,og hafði þá klæðin þau hin góðu er Sigtryggur konungur gaf honum og þótti h,(gunnl),1212.5
No,,NULL,Fixed,ex tigu manna og hjó strengina og rak skipið upp á leirur og,búið,við skipbroti. Varð eg þá að selja Hrafni sjálfdæmi og galt eg mörk og eru s,(gunnl),1212.5
No,PST,NULL,,. Konungur veitti honum það. Og er Hrafn var til brottferðar,búinn,"þá mælti hann til Gunnlaugs: ""Lokið skal nú okkarri vináttu fyrir því að þú",(gunnl),1212.5
No,,NULL,svo búið,er bæði er vinsæll og kappsamur. Þó vil eg enn vera láta svo,búið,"."" Og er nú enn kyrrt. 4. kafli Sumar þetta var lítill grasvöxtur og eigi góð",(haensna),1280
No,PRS,NULL,,"klæðast. Þeir gera svo, ganga síðan til snæðings. Eru þá og",búnir,hestar þeirra og stíga þeir á bak. Ríður Gunnar fyrir inn með firðinum. Þá,(haensna),1280
No,PRS,NULL,,inn snemma lætur Blund-Ketill safna hrossum úr haga og er þá,búin,ferðin og rekur Hersteinn hundrað hrossa í móti kaupmönnum og þurfti einkis,(haensna),1280
No,,NULL,svo búið,"í að eigi er þetta síður frá þér tekið."" Og skildust við svo",búið,. Ríður Þórir á braut og koma á Breiðabólstað og heilsar Oddur honum vel og s,(haensna),1280
No,,NULL,svo búið,"ir Álfs úr Dölum, virðulegur maður, og hverfa nú frá við svo",búið,. Einn maður féll af Oddi en þrír urðu mjög sárir. Þórður snýr nú málinu til,(haensna),1280
No,,NULL,svo búið,r gefin Þóroddi og líkar Oddi stórilla. Fara nú heim við svo,búið,. Eftir það sitja menn að boði og unir Þóroddur allvel sínu ráði. Og að vetri,(haensna),1280
No,,NULL,Live,að Vatni heitir upp frá Norðurtungu. Og fá vetur hafði hann,búið,áður hann gerðist svo mikill auðmaður að hann átti undir vel hverjum manni s,(haensna),1280
No,,NULL,Live,fé því faðir hans hefir það mælt að hann mundi af hendi láta,búið,"en Hersteinn tæki við."" Þórður svarar: ""Vel er mér við Blund-Ketil því að ei",(haensna),1280
No,,NULL,Fixed,ns og skilst eigi fyrr við en allir kaupmenn eru í brottu og,búið,um skip og öllu til skila komið. Blund-Ketill tekur afar vel við Erni. Sat h,(haensna),1280
No,,NULL,Fixed,"ngr varði vel ok drengiliga, en þó var hann eigi við bardaga",búinn,", ok urðu þær málalyktir, at Hergeirr konungr fell ok mestr hluti liðs hans.",(half_e),
No,,NULL,svo búið,kom mikið fjölmenni og á því móti sást einn mikill maður svo,búinn,sem munkur í blám kufli og hafði grímu fyrir andliti. Þessi maður gekk að o,(halld_s1),
No,Samsett,NULL,,slands. En þótt yður þyki þetta nokkuð strangt er áður hafið,búið,ferðir yðrar þá ber oss nauðsyn til slíkra álaga en betra þætti oss að um ky,(halld_s2),
No,,NULL,svo búið,Ætlar konungur suður fyrir land. Og er konungur var mjög svo,búinn,"þá bjóst Halldór ekki og mælti Bárður: ""Hví býstu eigi Halldór?"" ""Eigi vil",(halld_s2),
No,,NULL,svo búið,"öruðu: ""Vera mundi viljinn til en eigi er það vænlegt að svo",búnu,"."" Ingjaldur leiddi þá til launduranna og komust þeir þar í brott svo að víki",(hallfr2),1212.5
No,,NULL,svo búið,un kominn að biðja þín. En ekki trúi eg að það verði vel svo,búið,"."" Kolfinna svarar: ""Lát þú þá fyrir sjá er ráða eigu."" ""Það ráð skal eigi ha",(hallfr2),1212.5
No,Samsett,NULL,,"r. ""Þá skaltu yrkja kvæði um jarl,"" sagði Þorleifur, ""og haf",búið,"á þriggja nátta fresti."" Hallfreður kvað svo vera skyldu. Og er þrjár nætur",(hallfr2),1212.5
No,,NULL,Fixed,valdist að búi sínu um hríð við litla gleði. Síðan fékk hann,búið,í hendur Valgerði systur sinni en hann reið norður til Skagafjarðar og bjó s,(hallfr2),1212.5
No,,NULL,Fixed,stórar skapraunir gervar. Hefir þú svo að eins þína sök til,búið,"við hann, bæði nú og fyrr, að þér væri heldur heyrilegt að bæta yfir við han",(hallfr2),1212.5
No,,NULL,Fixed,"ér komum saman."" Óttar mælti: ""Óvirðulega hafið þér við hann",búið,"þó að sakar væru nokkurar eða viltu Grís unna mér eindæmis um þetta mál?"" Gr",(hallfr2),1212.5
No,,NULL,svo búið,"eður svarar: ""Fyrr mun annað að berast."" Skildu þeir við svo",búið,ósáttir. Hallfreður reið suður á Óttarsstaði til Galta bróður síns því að fa,(hallfr2),1212.5
No,,NULL,svo búið,n þá í brott og förunautur hans. Már sagði að eigi mátti svo,búið,standa og bað þá ríða eftir Hallfreði. Þeir gerðu svo. Fékk Ávaldi þeim tvo,(hallfr2),1212.5
No,,NULL,Fixed,"ti: ""Sjá mun vera sönn saga því að Björn hefir lengi um grun",búið,". Skaltu nú fyrst fara heim með mér en síðan skal eg reyna sannsögli þína."" N",(hallfr2),1212.5
No,,NULL,svo búið,xinn og var þar í sverðið konungsnautur. Gekk Hallfreður svo,búinn,"heim á bæinn snemma dags. Þorleifur var því vanur, sem mjög var fornmennis",(hallfr2),1212.5
No,PST,NULL,,"ýs, svo að vér séum saman fjórir menn og tuttugu."" Síðan var",búin,ferð þeirra. Riðu þeir þar til er þeir komu í skóg einn skammt frá bæ Þorlei,(hallfr2),1212.5
Yes,PST,NULL,,fékk hann fóstur gott þar í Þrándheimi. En er Hallfreður var,búinn,gekk hann fyrir konung og kvaddi hann. Var það þá auðsætt á Hallfreði að ho,(hallfr2),1212.5
No,,NULL,Fixed,heita. Hann var snemma mikill og vænlegur og vel að íþróttum,búinn,", þess að hann skorti þó um allt við Hörð. Uxu þeir nú upp báðir samt og var",(hardar),1350
No,,NULL,Fixed,"að afli, syndur manna best og um alla hluti vel að íþróttum",búinn,. Hann var hvítur á hörund en bleikur á hár. Hann var breiðleitur og þykklei,(hardar),1350
No,,NULL,Fixed,frá manni að segja að hann er vitur maður og vel að íþróttum,búinn,". Mun hann og vera þarfur búi og miklu á leið koma, því er þar hentar til, e",(hardar),1350
No,,NULL,Fixed,a lítið þar skyldu féna. Segja það sumir menn að Hörður hafi,búið,að Uppsölum í þenna tíma en Torfi á Breiðabólstað. Þá hafði Hörður sextán ve,(hardar),1350
No,,NULL,svo búið,ra fyrr en eg veit fararefni mín því að enn eru lítil að svo,búnu,"."" Geir mælti: ""Slíkt er vel boðið fóstbróðir og vænlegt ráð sýnist mér þetta",(hardar),1350
Yes,PST,NULL,,áða skyldu. Búa þeir nú skip sitt. 14. kafli Þá er þeir voru,búnir,"skilja þeir fóstbræður og þeir feðgar með mikilli vináttu, halda nú austur",(hardar),1350
No,,NULL,Fixed,"i að hefna sín ""og eruð þér,"" segir hann ""til illgerða einna",búnir,"."" Þá voru þeir komnir til Harðar Þórður köttur og Þorgeir gyrðilskeggi, sek",(hardar),1350
No,,NULL,Live,"i. Hörður mælti: ""Það mun verða fram að koma sem ætlað er og",búið,að ei sé hægt við að gera. En firr er það mínu skapi að liggja í þessum illv,(hardar),1350
No,,NULL,svo búið,i fær ekki af Herði utan stór orð. Hann ríður á burt við svo,búið,". Litlu síðar mælti Geir til Harðar: ""Það er meiri sómi að við förum til boðs",(hardar),1350
No,,NULL,vel búið,"Indriða, rammur maður að afli. Hann skaut manna best og vel",búinn,að öllum íþróttum. Hann skaut eftir Geir gaflaki og kom í milli herða honum,(hardar),1350
No,,NULL,svo búið,"og athafnir. ""Þykir mér,"" segir hann, ""illt ráð vort að svo",búnu,"að vér lifum við það eitt er vér rænum til."" Þeir sögðu að hann mundi mestu",(hardar),1350
No,PST,NULL,,"."" Eftir það fóru þeir á Þorbrandsstaði. Voru þeir og skjótt",búnir,", Oddur og Þórir. Fóru nú þar til er þeir komu á Ásbrandsstaði. Krafði Hávar",(havardar),1330
