corpus,match_position,left context,match,right_context,text_wordcount,chapter_n,text_titill,text_paragraphcount,text_ritstjorar,text_utgefandi,text_sentencecount,text_rit,text_utgafuar,
Bjarnar saga Hítdælakappa,9846,Nú,er að segja,frá Birni að hann býst í brott frá Arnórs mágs síns .,19285,18,Bjarnar saga Hítdælakappa,493,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1090,Íslendingasögur I,1985,
Brennu-Njáls saga,7293,Nú,er að segja,frá Hallgerði að hún sat úti og var skapþungt .,98938,11,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,23377,Nú,er að segja,frá Hallgerði að hún sendi mann vestur til Bjarnarfjarðar eftir Brynjólfi rósta frænda sínum .,98938,38,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,27811,Nú,er að segja,frá Njálssonum að þeir fóru upp til Fljótshlíðar og voru um nóttina við hlíðina og fóru nær Hlíðarenda er morgna tók .,98938,45,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,30088,Nú,er að segja,frá Skammkatli að hann ríður að sauðum upp með Rangá og sér hann að glóar nokkuð í götunni og hleypur af baki og tekur upp og var það knífur og belti og þykist hann kenna hvorttveggja og fer í Kirkjubæ .,98938,49,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,30660,Kolskeggur kom að máli við Gunnar og mælti : « Illt,er að segja,.,98938,49,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,33201,Nú,er að segja,frá Otkatli að hann ríður meira en hann vildi .,98938,53,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,41262,Nú,er að segja,frá Þorgeiri Otkelssyni .,98938,67,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,42462,Nú,er að segja,frá Njáli að hann ríður til fundar við þá nafna .,98938,69,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,48560,Nú,er að segja,frá Kolskeggi að hann kemur til Noregs og er í Vík austur um veturinn en um sumarið eftir fer hann austur til Danmerkur og felst á hendi Sveini konungi tjúguskegg og hafði þar virðingar miklar .,98938,81,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,63053,Nú,er að segja,frá þeim Skarphéðni að þeir stefna upp til Rangár .,98938,99,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,63871,Nú,er að segja,frá því að þessi sætt helst með þeim síðan .,98938,99,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,82371,Nú,er að segja,frá Skarphéðni að hann hleypur út á þvertréið þegar eftir Kára .,98938,130,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,83884,Nú,er að segja,frá Kára að hann fór úr gróf þeirri er hann hafði hvílt sig og þar til er hann mætti Bárði og fóru svo orð með þeim sem Geirmundur hafði sagt .,98938,131,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,85822,Svo,er að segja,frá Kára að hann mátti ekki sofa um nætur .,98938,132,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,100658,Nú,er að segja,"frá því að Ásgrímur Elliða-Grímsson og Þórhallur son hans , Hjalti Skeggjason og Gissur hvíti sóttu að þar sem fyrir var Flosi og Sigfússynir og aðrir brennumenn .",98938,145,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,106420,Nú,er að segja,frá Sigfússonum að þeir segja Flosa að þeir vilja ríða vestur í Fljótshlíð að skipa til búa sinna og hafa þaðan vöru og slíkt annað sem þeir þyrftu .,98938,149,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,107248,Nú,er að segja,frá Sigfússonum að þeir riðu þann dag heiman sem þeir höfðu sagt Birni .,98938,150,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,108900,Nú,er að segja,frá Birni og Kára að þeir ríða á sand og leiða hesta sína undir melbakka og skáru fyrir þá melinn að þeir dæju eigi af sulti .,98938,152,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,112224,Nú,er að segja,frá Brjáni konungi að hann vildi eigi berjast föstudaginn og var skotið um hann skjaldborg og fylkt þar liðinu fyrir framan .,98938,157,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Brennu-Njáls saga,113579,Nú,er að segja,frá Flosa að hann gengur upp og tekur lík Kols og býr um og gefur fé mikið til legs honum .,98938,158,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Egils saga Skalla-Grímssonar,57718,En ekki,er að segja,"frá höggva viðskiptum , svo lauk að hann felldi þá alla .",62240,76,Egils saga Skalla-Grímssonar,1103,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4066,Íslendingasögur I,1985,
Eiríks saga rauða,4973,"Eigi var um það getið hversu langa útivist þeir höfðu , en frá því",er að segja,að bæði þessi skip komu í Eiríksfjörð um haustið .,7824,7,Eiríks saga rauða,176,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,565,Íslendingasögur I,1985,
Eyrbyggja saga,7752,Nú,er að segja,frá Oddi Kötlusyni .,38388,18,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Eyrbyggja saga,10969,Nú,er að segja,frá þeim Vermundi og Þórarni svarta að þeir komu af hafi norður við Þrándheimsmynni og héldu inn í Þrándheim .,38388,25,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Eyrbyggja saga,21566,Nú,er að segja,frá Arnkatli að hann kenndi ferð þeirra Snorra goða .,38388,37,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Eyrbyggja saga,21810,Nú,er að segja,frá þrælum Arnkels að þeir gengu inn þá er þeir höfðu inn borið heyið og fóru af skinnstökkum sínum .,38388,37,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Eyrbyggja saga,24682,En það,er að segja,af ferð Egils að hann fór út um fjörðu og upp á fjall fyrir innan Búlandshöfða og svo suður yfir fjallið og stefndi svo að hann gekk ofan í skarðið að Leikskálum .,38388,43,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Eyrbyggja saga,26664,Það,er að segja,frá Breiðvíkingum að þeir spurðu að Snorri goði hafði farið með fjölmenni til Álftafjarðar .,38388,44,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Eyrbyggja saga,36857,Nú,er að segja,frá Snorra goða að hann fór til féránsdóms í Bitru norður sem fyrr var ritað .,38388,60,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Finnboga saga ramma,6337,Nú,er að segja,frá Finnboga .,23702,11,Finnboga saga ramma,560,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1755,Íslendingasögur I,1985,
Flóamanna saga,1823,Nú,er að segja,frá Atla að hann var ríkur maður og hlutdeilinn og líkur í mörgu lagi frændum sínum .,22418,5,Flóamanna saga,553,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1725,Íslendingasögur I,1985,
Fóstbræðra saga,9829,Nú,er að segja,frá Þormóði hvað hann hafðist að meðan Þorgeir var í förum .,31546,9,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Fóstbræðra saga,13763,Nú,er að segja,"frá Þorgeiri Hávarssyni , hirðmanni Ólafs konungs .",31546,12,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Fóstbræðra saga,26146,Nú,er að segja,frá Lúsa-Odda .,31546,23,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Fóstbræðra saga,28716,Nú,er að segja,frá Þormóði hvað hann hafðist að þá er hann kom á land .,31546,24,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Fóstbræðra saga,34191,Nú,er að segja,frá Þormóði að honum fékkst mikils er hann var lítt sár og harmaði það mjög og þóttist vita að hann mundi eigi verður vera fyrir illra gerða sinna sakir að falla með konungi .,31546,1,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Gísla saga Súrssonar (lengri gerð),3589,Nú,er að segja,frá Þorkeli að hann unir ei heima og ætlar hann að ráðast austur til Freyseyjar .,23429,7,Gísla saga Súrssonar - lengri gerð,535,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1429,Íslendingasögur I,1985,
Gísla saga Súrssonar (lengri gerð),22140,Nú,er að segja,frá Auði að hún gengur inn og hittir Gísla og segir svo : « Nú skiptir miklu hverju þú vilt til þín snúa og ger nú minn sóma meira en eg er verð . »,23429,25,Gísla saga Súrssonar - lengri gerð,535,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1429,Íslendingasögur I,1985,
Gísla saga Súrssonar (styttri gerð),17139,Nú,er að segja,frá Auði að hún gengur inn til Gísla og mælti : « Nú skiptir mig miklu hversu þú vilt til snúa að gera minn sóma meira en eg er verð . »,18981,30,Gísla saga Súrssonar - styttri gerð,483,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1169,Íslendingasögur I,1985,
Grænlendinga saga,6326,Nú,er að segja,frá því er Karlsefni býr skip sitt og sigldi í haf .,6036,8,Grænlendinga saga,182,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,361,Íslendingasögur II,1986,
Grettis saga Ásmundarsonar,2505,Nú,er að segja,frá þeim Þrándi og Önundi að þeir sigldu vestan um haf til Noregs og fengu svo mikið hraðbyri að engi njósn fór um ferð þeirra fyrr en þeir komu til Öndótts kráku .,61205,6,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Grettis saga Ásmundarsonar,4968,Nú,er að segja,frá Þorgeiri að hann snaraðist við höggið og kom öxin í flöskuna en hann varð ekki sár .,61205,11,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Grettis saga Ásmundarsonar,5283,Nú,er að segja,frá Flosa að hann sendi eftir frændum sínum norður í Ingólfsfjörð og Ófeigsfjörð og eftir Ólafi Eyvindarsyni er þá bjó að Dröngum .,61205,12,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Grettis saga Ásmundarsonar,13826,Nú,er að segja,frá berserkjunum að þeim þótti Gretti dveljast afturkoman .,61205,19,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Grettis saga Ásmundarsonar,29068,Nú,er að segja,frá er þeir Grettir fóru norður með landi og fengu oft hörð veður því að þetta var öndverðan vetur .,61205,38,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Grettis saga Ásmundarsonar,29485,Nú,er að segja,frá þeim sem fyrir voru að hér voru komnir þeir Þórissynir sem fyrr var getið .,61205,38,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Grettis saga Ásmundarsonar,32384,Nú,er að segja,frá Grími Þórhallssyni að hann réðst á móti Þorgeiri og áttust þeir lengi við því að hvortveggi þeirra var hraustur maður .,61205,43,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Gull-Þóris saga,2873,Nú,er að segja,frá Þóri og hans félögum að þeir afla sér mikils fjár í hellinum svo að það var margra manna fullfengi í gulli og mörgum dýrgripum .,11080,4,Gull-Þóris saga,166,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,792,Íslendingasögur II,1986,
Gull-Þóris saga,10040,Nú,er að segja,frá Ketilbirni að þeir fundu eigi fyrr en húsin voru tekin á þeim .,11080,18,Gull-Þóris saga,166,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,792,Íslendingasögur II,1986,
Gunnlaugs saga Ormstungu,6945,Nú,er að segja,frá Gunnlaugi að hann fór af Svíþjóðu það sumar til Englands er Hrafn fór til Íslands og þá góðar gjafir af Ólafi konungi að skilnaði þeirra .,9596,10,Gunnlaugs saga ormstungu,356,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
Gunnlaugs saga Ormstungu,7756,Nú,er að segja,"frá Hrafni að hann sat að brúðlaupi sínu að Borg og er það flestra manna sögn að brúðurin væri heldur döpur , og er það satt sem mælt er að lengi man það er ungum getur og var henni nú og svo .",9596,11,Gunnlaugs saga ormstungu,356,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
Gunnlaugs saga Ormstungu,9261,Nú,er að segja,frá Hrafni að hann bjó skip sitt í Leiruvogum .,9596,12,Gunnlaugs saga ormstungu,356,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
Hallfreðar saga (eftir Möðruvallabók),2464,Nú,er að segja,frá Hallfreði að þeir ríða tveir undan en níu eftir .,9694,4,Hallfreðar saga (eftir Möðruvallabók),402,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,765,Íslendingasögur II,1986,
Hallfreðar saga (úr Ólafs sögu Tryggvasonar hinni mestu),2405,Nú,er að segja,frá Hallfreði .,11573,3,Hallfreðar saga (úr Ólafs sögu Tryggvasonar hinni mestu),338,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,874,Íslendingasögur II,1986,
Harðar saga og Hólmverja,7935,Það,er að segja,frá þeim Hróari og Helga að þá er landskjálftinn varð æddust menn allir þeir er úti voru nema þeir Helgi og Hróar og urðu þeir að halda þeim sem úti voru .,19850,15,Harðar saga og Hólmverja,514,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1476,Íslendingasögur II,1986,
Hávarðar saga Ísfirðings,13162,Nú,er að segja,frá Steinþóri og þeim öllum saman að þeir koma að landi og ganga upp til bæjarins .,15402,15,Hávarðar saga Ísfirðings,401,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1194,Íslendingasögur II,1986,
Heiðarvíga saga,1919,Nú,er að segja,frá sýslu Þórðar hversu honum endist .,12941,19,Heiðarvíga saga,299,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,868,Íslendingasögur II,1986,
Heiðarvíga saga,2550,Það,er að segja,að í þann tíma var Þorgísl Arason riðinn norður til Eyjafjarðar á þeirri vikunni er um var liðin er hann skyldi kvongast að Þverá og var hans norðan von á annarri viku .,12941,21,Heiðarvíga saga,299,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,868,Íslendingasögur II,1986,
Heiðarvíga saga,8908,Nú,er að segja,frá Þorbirni og Þóroddi .,12941,30,Heiðarvíga saga,299,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,868,Íslendingasögur II,1986,
Heiðarvíga saga,10011,Nú,er að segja,frá Illuga .,12941,32,Heiðarvíga saga,299,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,868,Íslendingasögur II,1986,
Heiðarvíga saga,11735,Nú,er að segja,af sonum Gils og þeim frændum að þeir una illa við ...,12941,35,Heiðarvíga saga,299,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,868,Íslendingasögur II,1986,
Heiðarvíga saga,12542,En frá málalokum,er að segja,"að synir Þorgauts , Ketill og Gísli , voru jafnir við Hall Guðmundarson en alls fórust níu menn sunnan .",12941,37,Heiðarvíga saga,299,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,868,Íslendingasögur II,1986,
Heimskringla,3052,En það,er að segja,"fyrir hverja sök hann var svo mjög tignaður , þá báru þessir hlutir til .",231502,6,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Heimskringla,131330,Það,er að segja,frá för Finns að hann hafði skútu og á nær þremur tigum manna en er hann var búinn fór hann ferðar sinnar til þess er hann kom á Hálogaland .,231502,139,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Heimskringla,149998,Það,er að segja,frá ferð Ólafs konungs að hann fór fyrst úr Noregi austur um Eiðaskóg til Vermalands og þá út í Vatnsbú og þaðan yfir skóg þann sem leið liggur og kom fram á Næríki .,231502,181,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Heimskringla,156685,Þá mælti Afra-Fasti : « Svo,er að segja,frá mínu skapi að eg vil ekki aftur hverfa .,231502,204,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Heimskringla,196237,Þá tók Haraldur til máls : « Það,er að segja,yður jarl að fleira býr í hingaðkomu minni en það er eg hefi enn upp borið fyrir yður .,231502,76,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Heimskringla,236572,Nú,er að segja,frá Inga mönnum þá er þeir sáu að Hákonar menn bjuggust til orustu .,231502,9,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Íslendinga þættir,4200,Nú,er að segja,frá Þórði er hann kom heim og frá víg sonar síns og harmaði það mjög .,110609,2,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,5044,Nú,er að segja,frá Bolla .,110609,4,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,5717,Nú,er að segja,frá Þorvaldi að hann tekur til orða við Þórð bróður sinn : « Vita muntu að Bolli fer héðra að heimboðum .,110609,6,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,6867,Nú,er að segja,frá Helga að hann kemur heim á Skeið og segir húsfreyju sinni hvað þeir Bolli höfðu við ást .,110609,7,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,8021,Nú,er að segja,frá Þorsteini af Hálsi .,110609,9,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,8406,Nú,er að segja,frá Óttari .,110609,9,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,28206,Nú,er að segja,frá þeim Þorkeli að þeir fóru fram úr stofunni og voru nú inni byrgðir og komust út og þó heldur seint .,110609,5,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,29850,Nú,er að segja,frá Þorkeli Eyjólfssyni að hann ríður til brullaups síns til Helgafells og kemur þar margt manna .,110609,7,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,55808,Það,er að segja,"að þeir þrír menn er undan komust sóttu knálega róður og léttu eigi fyrr en þeir komu að landi , sögðu þau tíðindi er gerst höfðu í þeirra förum , kváðust ætla Ásbjörn dauðan en kunnu ekki frá að segja hversu að hafði borist um hans líflát .",110609,8,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,70854,Frá því,er að segja,að um þenna mann Odda gerðist undarlegur atburður .,110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,70914,En frá því,er að segja,að um kveldið er menn fóru í rekkju var vel búið um Odda og hæglega .,110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,71060,Frá því,er að segja,að konungurinn Hróðbjartur hafði settan til landstjórnar yfir þriðjung ríkis síns jarl þann er Hjörvarður hét .,110609,2,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,73646,Þessu næst,er að segja,frá þeim tíðindum að Hjörgunnur kona Hjörvarðar jarls tók sótt hættlega og þarf þar eigi að gera mikinn orðahjaldur að þessi sótt leiðir Hjörgunni til bana .,110609,6,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,108779,Það,er að segja,að Styrkár talaði við Þorstein og spurði hvort hann vildi fara með honum á Heiðarskóg .,110609,10,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,110008,Hitt,er að segja,að Styrkár er nú í sæluhúsinu og þykir Þorsteini dveljast .,110609,11,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Kjalnesinga saga,2656,Nú,er að segja,frá Búa að hann kom á þann bæ er heitir í Hólum .,11003,4,Kjalnesinga saga,290,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,928,Íslendingasögur II,1986,
Kjalnesinga saga,4820,Nú,er að segja,frá ferð Kolfinns .,11003,8,Kjalnesinga saga,290,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,928,Íslendingasögur II,1986,
Kjalnesinga saga,6914,Nú,er að segja,frá Búa .,11003,12,Kjalnesinga saga,290,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,928,Íslendingasögur II,1986,
Kormáks saga,6089,Nú,er að segja,frá Kormáki og Steinari .,10303,12,Kormáks saga,476,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,969,Íslendingasögur II,1986,
Kormáks saga,6148,Nú,er að segja,frá Bersa .,10303,13,Kormáks saga,476,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,969,Íslendingasögur II,1986,
Króka-Refs saga,8966,Nú,er að segja,"frá Bárði að þeir gera bæði , sigla og róa , en varði ekki að Refur mundi bíða .",11084,15,Króka-Refs saga,257,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,856,Íslendingasögur II,1986,
Króka-Refs saga,10423,Nú,er að segja,frá Haraldi konungi að hann er staddur á þinginu sem fyrr var sagt .,11084,17,Króka-Refs saga,257,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,856,Íslendingasögur II,1986,
